cuadrante;grupoFuncional;puntosDe25;abundancia_relativa;cobertura;altura
Cuadrante 21;Cirripedio;6;0,24;24;Medio
Cuadrante 21;No identificado;1;0,04;4;Medio
Cuadrante 22;Alga corticada;12;0,48;48;Medio
Cuadrante 22;Alga efimera;0;0;0;Medio
Cuadrante 22;Mitilidos;6;0,24;24;Medio
Cuadrante 22;Cirripedio;5;0,2;20;Medio
Cuadrante 22;Piedra;2;0,08;8;Medio
Cuadrante 23;Alga efimera;5;0,2;20;Medio
Cuadrante 23;Alga corticada;7;0,28;28;Medio
Cuadrante 23;Mitilidos;2;0,08;8;Medio
Cuadrante 23;Cirripedio;6;0,24;24;Medio
Cuadrante 23;Piedra;5;0,2;20;Medio
Cuadrante 24;Alga efimera;0;0;0;Medio
Cuadrante 24;Herviboro;5;0,2;20;Medio
Cuadrante 24;Alga corticada;13;0,52;52;Medio
Cuadrante 24;Cirripedio;0;0;0;Medio
Cuadrante 24;Kelp;4;0,16;16;Medio
Cuadrante 24;Piedra;3;0,12;12;Medio
Cuadrante 25;Alga corticada;9;0,36;36;Bajo
Cuadrante 25;Cirripedio;1;0,04;4;Bajo
Cuadrante 25;Piedra;15;0,6;60;Bajo
Cuadrante 26;Alga corticada;7;0,28;28;Bajo
Cuadrante 26;Piedra;18;0,72;72;Bajo
Cuadrante 27;Alga corticada;7;0,28;28;Bajo
Cuadrante 27;Piedra;18;0,72;72;Bajo
Cuadrante 28;Cirripedio;1;0,04;4;Bajo
Cuadrante 28;Alga corticada;15;0,6;60;Bajo
Cuadrante 28;Piedra;9;0,36;36;Bajo
Cuadrante 29;Alga corticada;1;0,04;4;Bajo
Cuadrante 29;Piedra;24;0,96;96;Bajo
Cuadrante 30;Cirripedio;0;0;0;Bajo
Cuadrante 30;Piedra;25;1;100;Bajo
Cuadrante 31;Herviboro;0;0;0;Bajo
Cuadrante 31;Alga articulada;3;0,12;12;Bajo
Cuadrante 31;Piedra;22;0,88;88;Bajo
Cuadrante 32;Alga articulada;2;0,08;8;Bajo
Cuadrante 32;Piedra;23;0,92;92;Bajo
Cuadrante 33;Herviboro;1;0,04;4;Bajo
Cuadrante 33;Alga articulada;5;0,2;20;Bajo
Cuadrante 33;Piedra;20;0,8;80;Bajo
Cuadrante 34;Herviboro;4;0,16;16;Bajo
Cuadrante 34;Alga articulada;16;0,64;64;Bajo
Cuadrante 34;Piedra;5;0,2;20;Bajo
Cuadrante 35;Herviboro;5;0,2;20;Bajo
Cuadrante 35;Alga articulada;13;0,52;52;Bajo
Cuadrante 35;Piedra;12;0,48;48;Bajo
Cuadrante 36;Herviboro;0;0;0;Bajo
Cuadrante 36;Alga articulada;22;0,88;88;Bajo
Cuadrante 36;Piedra;3;0,12;12;Bajo
